Name,Country,Language,Description,Landmarks,Famous people,Item,Clues_in
Buenos Aires,Argentina,Spanish,"Buenos Aires is Argentina’s big, cosmopolitan capital city. Its center is the Plaza de Mayo, lined with stately 19th-century buildings including Casa Rosada, the  presidential palace. Other major attractions include Teatro Colón, a grand 1908 opera house with nearly 2,500 seats, and the modern MALBA museum, displaying Latin American art.","Obelisco,Teatro Colon,Estadio Monumental","Lionel Messi, Jorge Luis Borges, Queen Maxima of the Netherlands, Daniel Barenboim","the Planetarium building,the FIFA World Cup trophy,all of the chimichurri sauce","That person needed to board a plane with a blue and white flag with a sun in the centre,That person wanted to visit the country of Jorge Luis Borges"
Rio de Janeiro,Brazil,Portuguese,"Rio de Janeiro is a huge seaside city in Brazil, famed for its Copacabana and Ipanema beaches, 38m Christ the Redeemer statue atop Mount Corcovado and for Sugarloaf Mountain, a granite peak with cable cars to its summit. The city is also known for its sprawling favelas (shanty towns). Its raucous Carnaval festival, featuring parade floats, flamboyant costumes and samba dancers, is considered the world’s largest.","Christ the Redeemer statue,Escadaria Selaron,Sambadrome","Pele, Gisele Bündchen, Ronaldinho Gaucho, Morena Baccarin, Caetano Veloso, Paulo Cohelo","the sand from Copacabana Beach,the emblem on the national flag,Pele's favourite jersey","That person wanted to walk the steps of Escadaria Selaron,That person hoped to watch a game in the Maracana stadium"
Tokyo,Japan,Japanese,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples. The opulent Meiji Shinto Shrine is known for its towering gate and surrounding woods. The Imperial Palace sits amid large public gardens. The city's many museums offer exhibits ranging from classical art (in the Tokyo National Museum) to a reconstructed kabuki theater (in the Edo-Tokyo Museum).","the Tokyo Tower,the Imperial Palace,Shinjuku Golden Gai","Haruki Murakami, Akira Kurosawa, Akira Toriyama, Naomi Osaka, Suzuka Nakamoto, Emperor Naruhito","Emperor Naruhito's set of chopsticks,the snow from Mount Fuji,the first draft copy of Dragon Ball","That person was practising Japanese,That person needed to change his money into yen"
Rome,Italy,Italian,"Rome is the capital city of Italy. Rome is the third most populous city in the European Union. Rome's history spans 28 centuries. While Roman mythology dates the founding of Rome at around 753 BC, the site has been inhabited for much longer. One of the symbols of Rome is the Colosseum (70–80 AD), the largest amphitheatre ever built in the Roman Empire, originally capable of seating 60,000 spectators.","Pantheon,Saint Paul outside the Walls Basilica,the Monument to Vittorio Emmanuele II","Michelangelo, Silvio Berlusconi, Marcelo Mastroiani","the papal emblem,the Mouth of Truth,Trajan’s Column","I saw that person practising Italian in Duolingo,I saw that person board a flight bound for Fumicino Airport"
New York,U.S.A,English,"New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean. At its core is Manhattan, a densely populated borough that’s among the world’s major commercial, financial and cultural centers. Its iconic sites include skyscrapers such as the Empire State Building and sprawling Central Park. Broadway theater is staged in neon-lit Times Square.","Statue of Liberty,Empire State Building,Rockefeller Centre","Lady Gaga, Woody Allen, Neil deGrasse Tyson","the Flatiron Building,the torch from the Statue of Liberty,USS Intrepid","I heard that person say they wanted to stand in the middle of Times Square,I think that person was looking forward to meeting Woody Allen"
Bangkok,Thailand,Thai,"Bangkok, Thailand’s capital, is a large city known for ornate shrines and vibrant street life. The boat-filled Chao Phraya River feeds its network of canals, flowing past the Rattanakosin royal district, home to opulent Grand Palace and its sacred Wat Phra Kaew Temple. Nearby is Wat Pho Temple with an enormous reclining Buddha and, on the opposite shore, Wat Arun Temple with its steep steps and Khmer-style spire.","the Grand Palace,Wat Arun Buddhist Temple,Temple of the Emerald Buddha","King Bhumibol Adulyadej, Tony Jaa, Cindy Burbridge","the Giant Swing,the Great Crown of Victory,the Royal Slippers","That person told me they wanted to practise some Muay Thai at it’s motherland,I heard that person say they were looking forward to all the street food and the tuc tucs"
Sydney,Australia,English,"Sydney, capital of New South Wales and one of Australia's largest cities, is best known for its harbourfront Sydney Opera House, with a distinctive sail-like design. Massive Darling Harbour and the smaller Circular Quay port are hubs of waterside life, with the arched Harbour Bridge and esteemed Royal Botanic Garden nearby. Sydney Tower’s outdoor platform, the Skywalk, offers 360-degree views of the city and suburbs.","Sydney Opera House,Harbour Bridge,Sydney Tower Eye","Cate Blanchett, Howard Florey, Don Bradman","the Royal Botanic Garden,the water at Bondi Beach,the ice from Sydney Fish Market","That person wanted to wrestle crocodiles and eat kangaroo meat,That person said they didn’t care much about the opera but they did want to see the famous building from the inside"
Beijing,China,Mandarin,"Beijing, China’s sprawling capital, has history stretching back 3 millennia. Yet it’s known as much for modern architecture as its ancient sites such as the grand Forbidden City complex, the imperial palace during the Ming and Qing dynasties. Nearby, the massive Tiananmen Square pedestrian plaza is the site of Mao Zedong’s mausoleum and the National Museum of China, displaying a vast collection of cultural relics.","the Forbidden City,Tiananmen Square,the Temple of Heaven","Confucius, Bruce Lee, Li Na","the Great Wall,the Quingming landscape scroll,the original bamboo book of The Art of War","I overheard that person say they were looking forward to trying genuine Chinese food,I saw that person board a flight on a plane with a red flag with yellow stars"
Lagos,Nigeria,Yoruba,"Lagos, Nigeria’s largest city, sprawls inland from the Gulf of Guinea across Lagos Lagoon. Victoria Island, the financial center of the metropolis, is known for its beach resorts, boutiques and nightlife. To the north, Lagos Island is home to the National Museum Lagos, displaying cultural artifacts and craftworks. Nearby is Freedom Park, once a colonial-era prison and now a major venue for concerts and public events.","Jaekel House,Freedom Park,Synagogue Church Of all Nations.","Chinua Achebe, Giannis Antetokounmpo, Omowunmi Sadik","the Jollof pot on wheels,the main door at Jaekel House,all of the sunscreen at Landmark Beach","That person kept talking about Nollywood and all the directors they were going to meet,I heard them say they were going to West Africa"
Antananarivo,Madagascar,Malagasy,"Antananarivo is the capital city of Madagascar, in the island’s Central Highlands. Overlooking the city, the Rova of Antananarivo palace complex was the center of the Merina kingdom from the 17th century. It features wooden houses and royal tombs. The pink baroque Andafiavaratra Palace sits in the nearby Haute Ville neighborhood. In the city center, heart-shaped Lake Anosy is ringed by jacaranda trees.","Queen’s Palace,the Baobab Avenue,Gare de Soarano","Gisèle Rabesahala, Albert Rakoto Ratsimamanga, Jean-Luc Raharimanana","the baobabs at Baobab Avenue,all of the Antemoro Paper,the Piscine Naturelle at Isalo National Park","That person told me they were planning on visiting the Place of 1000 Warriors,I saw that person board a plane with a red and green flag!"
